Order Number,Manufacturing Time (days),Delivery Time (days),Units Shipped,Damaged Units,Returns,Supplier,Raw Material Lead Time (days)
ORD1000,7,1,155,3,0,S-3,4
ORD1001,9,3,145,5,3,S-2,2
ORD1002,2,3,119,3,1,S-1,6
ORD1003,5,3,87,3,0,S-1,5
ORD1004,2,2,146,9,2,S-3,3
ORD1005,4,3,157,9,3,S-3,2
ORD1006,6,2,168,1,0,S-1,2
ORD1007,7,3,123,8,0,S-1,3
ORD1008,7,3,106,9,3,S-1,2
ORD1009,3,3,159,7,2,S-3,5
ORD1010,9,2,128,7,4,S-1,3
ORD1011,7,3,85,4,2,S-3,3
ORD1012,7,1,106,2,3,S-1,5
ORD1013,5,3,178,5,4,S-1,5
ORD1014,8,2,52,8,0,S-3,3
ORD1015,7,2,63,7,2,S-2,5
ORD1016,7,1,83,6,2,S-3,5
ORD1017,9,4,119,7,4,S-2,5
ORD1018,4,1,118,3,0,S-3,3
ORD1019,8,1,153,5,2,S-2,2
ORD1020,4,2,78,4,4,S-2,4
ORD1021,9,3,97,1,2,S-2,3
ORD1022,2,3,143,7,0,S-3,4
ORD1023,2,4,128,2,0,S-3,5
ORD1024,7,4,166,4,1,S-3,5
ORD1025,7,4,193,7,4,S-2,2
ORD1026,3,4,187,8,3,S-2,5
ORD1027,2,1,196,8,2,S-3,4
ORD1028,5,1,116,4,0,S-3,3
ORD1029,7,3,181,1,2,S-1,3
ORD1030,5,1,124,6,2,S-1,2
ORD1031,7,3,77,6,3,S-1,4
ORD1032,9,3,170,7,0,S-1,5
ORD1033,5,3,58,7,1,S-1,6
ORD1034,6,3,183,4,4,S-3,2
ORD1035,5,2,172,0,2,S-2,2
ORD1036,8,3,98,3,3,S-2,6
ORD1037,2,1,140,3,3,S-3,3
ORD1038,7,1,174,2,4,S-3,3
ORD1039,2,1,125,7,4,S-3,3
ORD1040,8,1,199,2,0,S-1,6
ORD1041,8,2,153,4,2,S-1,5
ORD1042,5,4,198,1,2,S-1,5
ORD1043,4,4,82,5,4,S-3,4
ORD1044,4,3,102,5,1,S-3,4
ORD1045,8,3,89,7,2,S-2,3
ORD1046,4,1,67,7,3,S-3,6
ORD1047,7,1,62,0,4,S-1,2
ORD1048,3,4,123,4,2,S-2,5
ORD1049,6,4,145,1,0,S-3,6
ORD1050,5,1,154,9,4,S-2,4
ORD1051,3,3,180,4,3,S-2,5
ORD1052,4,2,199,9,0,S-3,5
ORD1053,5,2,116,8,4,S-1,6
ORD1054,3,4,82,3,4,S-1,4
ORD1055,2,4,51,7,2,S-2,6
