Order Number,Order Date,Order Status,Freight Cost
ORD1000,1/1/2021,On Time,145.58
ORD1001,1/2/2021,On Time,73.67
ORD1002,1/3/2021,Late,138.26
ORD1003,1/4/2021,Late,59.7
ORD1004,1/5/2021,Late,55.57
ORD1005,1/6/2021,On Time,62.92
ORD1006,1/7/2021,Late,55.77
ORD1007,1/8/2021,On Time,134.5
ORD1008,1/9/2021,On Time,55.91
ORD1009,1/10/2021,On Time,77.17
ORD1010,1/11/2021,Late,60.38
ORD1011,1/12/2021,Late,79.54
ORD1012,1/13/2021,On Time,59.06
ORD1013,1/14/2021,Late,116.8
ORD1014,1/15/2021,On Time,63.33
ORD1015,1/16/2021,On Time,135.18
ORD1016,1/17/2021,On Time,131.72
ORD1017,1/18/2021,On Time,51.37
ORD1018,1/19/2021,On Time,139.57
ORD1019,1/20/2021,On Time,52.89
ORD1020,1/21/2021,On Time,73.96
ORD1021,1/22/2021,On Time,53.24
ORD1022,1/23/2021,On Time,83.58
ORD1023,1/24/2021,On Time,101.39
ORD1024,1/25/2021,On Time,129.66
ORD1025,1/26/2021,On Time,83.8
ORD1026,1/27/2021,On Time,120.55
ORD1027,1/28/2021,On Time,68.75
ORD1028,1/29/2021,On Time,125.06
ORD1029,1/30/2021,On Time,73.6
ORD1030,1/31/2021,Late,64.35
ORD1031,2/1/2021,On Time,68.54
ORD1032,2/2/2021,On Time,68.21
ORD1033,2/3/2021,Late,101.29
ORD1034,2/4/2021,On Time,134.48
ORD1035,2/5/2021,On Time,57.96
ORD1036,2/6/2021,On Time,120.7
ORD1037,2/7/2021,On Time,115.43
ORD1038,2/8/2021,On Time,137.25
ORD1039,2/9/2021,On Time,74.41
ORD1040,2/10/2021,On Time,95.01
ORD1041,2/11/2021,On Time,142.58
ORD1042,2/12/2021,Late,116
ORD1043,2/13/2021,On Time,88.88
ORD1044,2/14/2021,On Time,63.14
ORD1045,2/15/2021,On Time,76.25
ORD1046,2/16/2021,On Time,108.12
ORD1047,2/17/2021,On Time,121.82
ORD1048,2/18/2021,On Time,62.44
ORD1049,2/19/2021,On Time,109.96
ORD1050,2/20/2021,On Time,105.04
ORD1051,2/21/2021,On Time,101.4
ORD1052,2/22/2021,On Time,119.01
